GovernmentService,AdministrativeArea,applyCondition,files,workHours,telephone,completionTime,cost
出境注销户口,北京市-东城区,"北京市出国、出境定居人员注销户口的受理条件如下：
1. 提供的材料齐全、真实有效，立即办理。
需要注意的是，以上信息可能因地区、时间的不同而有所变化，建议您在办理前先确认当地的最新政策","北京市出国、出境定居人员注销户口办理的所需材料如下：
1. 基本要件
  1.1. 居民户口簿正本原件1份
  1.2. 中华人民共和国居民身份证正本原件1份
2. 前往香港或者澳门定居的
  2.1. 北京市内地居民申请前往香港批准定居通知书或北京市内地居民申请前往澳门批准定居通知书正本原件1份
3. 已在香港或者澳门定居的
  3.1. 香港永久性居民身份证或澳门特别行政区永久性居民身份证正本原件1份
4. 前往台湾定居的
  4.1. 批准赴台湾地区定居注销户口通知书原件1份或台湾居民来往大陆通行证正本原件1份
5. 出国定居的
  5.1. 国外永久居留证件原件1份
  5.2. 国外永久居留证件翻译件原件1份
6. 已加入外国国籍的
  6.1. 外国护照原件1份
  6.2. 外国护照中文译本原件1份
需要注意的是，以上信息可能因地区、时间的不同而有所变化，建议您在办理前先确认当地的最新政策。","
上午09:00-12:00，下午14:00-17:30（周一至周日）
","
(010)12345
",即办,无需办理费用
购买、调拨、赠予等方式获得后未注册登记的机动车核发临时行驶车号牌,江西省-南昌市,"购买、调拨、赠予等方式获得后未注册登记的机动车核发临时行驶车号牌的受理条件如下：
购买、调拨、赠予等方式获得机动车后尚未注册登记的
需要注意的是，以上信息可能因地区、时间的不同而有所变化，建议您在办理前先确认当地的最新政策","购买、调拨、赠予等方式获得后未注册登记的机动车核发临时行驶车号牌的所需材料如下：
1. 机动车所有人的身份证
2. 机动车交通事故责任强制保险凭证
3. 机动车整车出厂合格证明或者进口机动车进口凭证
4. 机动车来历证明
需要注意的是，以上信息可能因地区、时间的不同而有所变化，建议您在办理前先确认当地的最新政策。","
周一至周五 上午9:00-12:00 下午:14:00-17:30
","
0791-85951960",1个工作日,机动车临时号牌工本费五元/张
购买自住住房提取住房公积金,重庆市,"重庆市购买自住住房提取住房公积金的受理条件如下：
职工或其配偶偿还公积金贷款（含组合贷款、贴息贷款）本息的，在还款期限内每年可提取一次，职工、配偶及参贷人提取金额之和不超过对应时段已偿还的贷款本息额
需要注意的是，以上信息可能因地区、时间的不同而有所变化，建议您在办理前先确认当地的最新政策。","重庆市购买自住住房提取住房公积金办理的所需材料如下：
1. 住房公积金批量提取单位汇总表原件
2. 住房公积金个人提取申请表原件
3. 身份证原件
需要注意的是，以上信息可能因地区、时间的不同而有所变化，建议您在办理前先确认当地的最新政策。","
上午9：00-12：00 下午14：30-18：00（法定节假日除外）
","
023-73333540",1个工作日,无需办理费用
失业保险金申领,湖南省-湘潭市,"湘潭市失业保险金申领的受理条件如下：
所在单位和本人已按照规定履行缴费义务满1年，非因本人意愿中断就业且已失业登记。
需要注意的是，以上信息可能因地区、时间的不同而有所变化，建议您在办理前先确认当地的最新政策。","湘潭市失业保险金申领的所需材料如下：
1. 居民身份证（原件）；
2. 银行卡（复印件）；
需要注意的是，以上信息可能因地区、时间的不同而有所变化，建议您在办理前先确认当地的最新政策。","
法定工作日，冬季（01月01日~06月30日）：上午 09:00~12:00,下午 13:30~17:00，冬季（10月01日~12月31日）：上午 09:00~12:00,下午 13:30~17:00，夏季（07月01日~09月30日）：上午 09:00~12:00,下午 13:30~17:00；
","
0731-58556564",1个工作日,不收费
就业困难人员认定,浙江省-杭州市-萧山区,"1.登记失业人员
2.符合当地政策规定的就业困难人员类型",居民身份证|_|居民户口簿|_|高等学校毕业证书|_|社会保障卡|_|残疾人证|_|家庭成员关系材料|_|1-8级《残疾军人证》|_|低保边缘证|_|低保证|_|教育部学籍在线验证报告|_|就业困难人员认定申请表|_|国外学历学位认证书|_|技工院校毕业证书|_|军人退出现役材料|_|直系亲属患重大疾病材料|_|随军家属材料|_|高级工（三级）以上职业资格证书|_|国外毕业证书或学位证书,全年：8:30-11:30；13:30-17:00|_|夏令：8:30-11:30；13:30—17:00冬令：8:30-11:30；13:00—16:30,无,无,无
合法稳定居住居住证办理,浙江省-湖州市-南浔区,流动人口在居住地办理居住登记半年以上，符合居住地规定的有合法稳定就业、合法稳定住所、连续就读条件之一的，可以申领居住证。属于居住地规定的投资创业、引进人才的，申领居住证不受在居住地办理居住登记半年以上条件限制。,居民身份证|_|居民户口簿|_|不动产权证书|_|相片|_|父母一方社会保险参保记录|_|房屋所有权证|_|集体土地使用证|_|购房合同（协议）|_|商品房预售合同|_|居住房屋出租安全排查表|_|公共租赁住房租赁合同|_|父母双方《浙江省居住证》|_|房屋租赁合同（协议）|_|宅基地使用证|_|居住房屋租赁登记备案证|_|集体土地房屋合法性排查情况说明|_|单位集体宿舍居住情况说明|_|规划许可证（政府部门核发）|_|房屋消防安全排查记录,法定工作日（夏季：上午9：00-下午5：00（午间不休息）；冬季：上午9：00-下午4：30（午间不休息）,|_|0572-3066390|_|0572-3066410|_|0572-3361110|_|0572-3066135|_|0572-3066315|_|0572-3941111|_|0572-3066294|_|0572-3688830,无,无
道路危险货物运输装卸管理人员和押运人员从业资格补证,浙江省-绍兴市-新昌县,"一、道路危险货物运输押运人员和装卸管理人员从业资格证申请条件：
1.年龄不超过60周岁；
2.初中以上学历：
3.接受相关法规、安全知识、专业技术、职业卫生防护和应急救援知识的培训，了解危险货物性质、危害特征、包装容器的使用特征和发生意外时的应急措施；
4. 经相应的道路运输从业人员资格考试合格。",浙江省道路运输办事事项申请书|_|申请人身份证|_|近期二寸免冠彩色证件照片,工作日：夏季上午8：30-12：00，下午14:30-17:30；冬季上午8：30-12：00，下午14:00-17:00；节假日休息,0575-86230543,无,无
烈士一次性抚恤金发放,浙江省-丽水市-景宁畲族自治县,烈士的父母（抚养人）、配偶、子女。没有父母或者抚养人、配偶、子女的，发给烈士未满18 周岁的兄弟姐妹和已满18 周岁但无生活来源且由烈士生前供养的兄弟姐妹。,居民身份证|_|烈士通知书或相关证书|_|烈士牺牲时的月工资标准|_|立功奖励材料|_|烈士一次性抚恤金分配协议书,"星期一至星期五，上午8:30-12:00,下午14:00-17:00（法定节假日按国家假期安排调整办理时间）。|_|全年工作日上午8:30-12:00，下午14:00-17:00",0578-5888320|_|,无,无
母婴保健专项技术服务许可（人员注销）,浙江省-宁波市-余姚市,"（一）已经取得《母婴保健技术考核合格证书》；
（二）停止执业。",委托办理授权委托书|_|《卫生行政许可注销申请书》|_|《母婴保健技术考核合格证书》,工作日，夏季：上午8:30-12:00，下午13:30-16:30；冬季：上午8:30-12:00，下午13:30-16:30,无,无,无
公章刻制业特种行业许可证核发（一般程序）,浙江省-宁波市-宁海县,"（一）设有单独的公章刻制间以及存放成品公章的保管库房或者保险柜；
（二）安装、配备与印章治安管理信息系统要求相适应的采集、上传等设施设备。",营业执照|_|设有单独的公章刻制间以及存放成品公章的保管库房或者保险柜的说明材料|_|安装、配备与印章治安管理信息系统要求相适应的采集、上传等设施设备的说明材料,法定工作日，夏令时：上午8:00~11:30 下午14:00~17:00；冬令时：上午8:00~11:30 下午13:30~16:30。,无,无,无
