Resources,ProbErr
0,0.8750000000000000
1,0.48118954523341384
2,0.3004863590036839
3,0.18916278576745638
4,0.11932852164516572
5,0.0753249836542782
6,0.047559187059532215
7,0.030030807776365243
8,0.0189632942524115
9,0.011974738842999155
10,0.007561717894489672
11,0.004775026003162153
12,0.0030153056898557518
13,0.0019040883114408436
14,0.0012023831458807255
15,0.0007592742895340399
16,0.00047946235765972123
17,0.0003027682582605884
18,0.00019119043868620622
19,0.00012073188946659652
20,7.623911133480821e-5
21,4.8143055851213035e-5
22,3.0401112847355805e-5
23,1.9197527987957486e-5
24,1.212274967399285e-5
25,7.655207484025262e-6
26,4.834068432435501e-6
27,3.0525910176271154e-6
28,1.927633434317677e-6
29,1.2172513896846482e-6
30,7.686632343961719e-7
31,4.853912384250592e-7
32,3.065121889633815e-7
