Resources,ProbError
0.0000e-00,6.6666e-01
7.5158e-01,5.6872e-01
1.6180e+00,5.1564e-01
2.5656e+00,4.8310e-01
3.5565e+00,4.4686e-01
4.5318e+00,4.1862e-01
5.5245e+00,3.9438e-01
6.5265e+00,3.7343e-01
7.5199e+00,3.5259e-01
8.5161e+00,3.3406e-01
9.5188e+00,3.1796e-01
1.0518e+01,3.0426e-01
1.1512e+01,2.8888e-01
1.2515e+01,2.7609e-01
1.3511e+01,2.6518e-01
1.4515e+01,2.5377e-01
1.5509e+01,2.4269e-01
1.6510e+01,2.3399e-01
1.7509e+01,2.2593e-01
1.8510e+01,2.1687e-01
1.9509e+01,2.0859e-01
2.0507e+01,2.0177e-01
2.1507e+01,1.9456e-01
2.2507e+01,1.8749e-01
2.3507e+01,1.8132e-01
2.4507e+01,1.7623e-01
2.5507e+01,1.7081e-01
2.6506e+01,1.6485e-01
2.7506e+01,1.6014e-01
2.8506e+01,1.5522e-01
2.9505e+01,1.5060e-01
3.0503e+01,1.4594e-01
3.1504e+01,1.4170e-01
3.2506e+01,1.3810e-01
3.3503e+01,1.3465e-01
3.4504e+01,1.3092e-01
3.5503e+01,1.2746e-01
3.6502e+01,1.2448e-01
3.7503e+01,1.2161e-01
3.8502e+01,1.1892e-01
3.9502e+01,1.1632e-01
4.0503e+01,1.1423e-01
4.1501e+01,1.1184e-01
4.2501e+01,1.0986e-01
4.3503e+01,1.0781e-01
4.4502e+01,1.0600e-01
4.5501e+01,1.0372e-01
4.6501e+01,1.0225e-01
4.7501e+01,1.0105e-01
4.8500e+01,9.9769e-02
4.9500e+01,9.8418e-02
5.0500e+01,9.7102e-02
5.1499e+01,9.5915e-02
5.2499e+01,9.4640e-02
5.3500e+01,9.3505e-02
5.4499e+01,9.2770e-02
5.5498e+01,9.2052e-02
5.6498e+01,9.0974e-02
5.7498e+01,9.0204e-02
5.8498e+01,8.9477e-02
5.9497e+01,8.9252e-02
6.0497e+01,8.8161e-02
6.1497e+01,8.7970e-02
6.2496e+01,8.7899e-02
6.3496e+01,8.7189e-02
6.4496e+01,8.6760e-02
6.5495e+01,8.6513e-02
6.6496e+01,8.5996e-02
6.7495e+01,8.6577e-02
6.8496e+01,8.5906e-02
6.9497e+01,8.5744e-02
7.0496e+01,8.5718e-02
7.1496e+01,8.5587e-02
7.2493e+01,8.6217e-02
7.3495e+01,8.5483e-02
7.4495e+01,8.6149e-02
7.5494e+01,8.6307e-02
7.6493e+01,8.6438e-02
7.7494e+01,8.7137e-02
7.8497e+01,8.7327e-02
7.9494e+01,8.7935e-02
8.0495e+01,8.7912e-02
8.1493e+01,8.7993e-02
8.2495e+01,8.8806e-02
8.3490e+01,8.9523e-02
8.4494e+01,9.0821e-02
8.5496e+01,9.1738e-02
8.6490e+01,9.1627e-02
8.7491e+01,9.2561e-02
8.8493e+01,9.4241e-02
8.9491e+01,9.5016e-02
9.0489e+01,9.6408e-02
9.1488e+01,9.7675e-02
9.2489e+01,9.9560e-02
9.3489e+01,9.9592e-02
9.4490e+01,1.0157e-01
9.5485e+01,1.0212e-01
9.6488e+01,1.0224e-01
9.7487e+01,1.0721e-01
9.8487e+01,1.0720e-01
9.9494e+01,1.0846e-01
1.0048e+02,1.1027e-01
1.0149e+02,1.1251e-01
1.0249e+02,1.1366e-01
1.0348e+02,1.2004e-01
1.0449e+02,1.1443e-01
1.0549e+02,1.2128e-01
1.0649e+02,1.2774e-01
1.0748e+02,1.2413e-01
1.0849e+02,1.2844e-01
1.0950e+02,1.2814e-01
1.1048e+02,1.3237e-01
1.1149e+02,1.3716e-01
1.1249e+02,1.4298e-01
1.1349e+02,1.4211e-01
1.1448e+02,1.4019e-01
1.1548e+02,1.4358e-01
1.1649e+02,1.5627e-01
1.1746e+02,1.5432e-01
1.1849e+02,1.5243e-01
1.1948e+02,1.5286e-01
1.2050e+02,1.4441e-01
1.2147e+02,1.6466e-01
1.2247e+02,1.5553e-01
1.2350e+02,1.6304e-01
1.2451e+02,1.7507e-01
1.2546e+02,1.8743e-01
1.2647e+02,1.8592e-01
1.2751e+02,1.8586e-01
1.2849e+02,1.4872e-01
1.2945e+02,2.2189e-01
1.3052e+02,2.0434e-01
1.3147e+02,2.1965e-01
1.3234e+02,1.8863e-01
1.3335e+02,3.4377e-01
1.3432e+02,1.9263e-01
1.3554e+02,1.4897e-01
1.3658e+02,3.0449e-01
1.3780e+02,2.4448e-01
1.3813e+02,6.4275e-06
1.4038e+02,2.9744e-01
1.4133e+02,6.1069e-01
